Time [s],Packet ID,MOSI,MISO
0.0019889,190,0xFA,0xFB
0.0019953,191,0xFC,0xFD
0.0019973,191,0xFD,0xFE
0.0019993,191,0xFE,0xFF
0.0020057,192,0x00,0x01
0.0020077,192,0x01,0x02
0.0020097,192,0x02,0x03
0.0020161,193,0x04,0x05
0.0020181,193,0x05,0x06
0.0020201,193,0x06,0x07
0.0020265,194,0x08,0x09
0.0020285,194,0x09,0x0A
0.0020305,194,0x0A,0x0B
0.0020369,195,0x0C,0x0D
0.0020389,195,0x0D,0x0E
0.0020409,195,0x0E,0x0F
0.0020473,196,0x10,0x11
0.0020493,196,0x11,0x12
0.0020513,196,0x12,0x13
0.0020577,197,0x14,0x15
0.0020597,197,0x15,0x16
0.0020617,197,0x16,0x17
0.0020681,198,0x18,0x19
0.0020701,198,0x19,0x1A
0.0020721,198,0x1A,0x1B
0.0020785,199,0x1C,0x1D
0.0020805,199,0x1D,0x1E
0.0020825,199,0x1E,0x1F
0.0020889,200,0x20,0x21
0.0020909,200,0x21,0x22
0.0020929,200,0x22,0x23
0.0020993,201,0x24,0x25
0.0021013,201,0x25,0x26
0.0021033,201,0x26,0x27
0.0021097,202,0x28,0x29
0.0021117,202,0x29,0x2A
0.0021137,202,0x2A,0x2B
0.0021201,203,0x2C,0x2D
0.0021221,203,0x2D,0x2E
0.0021241,203,0x2E,0x2F
0.0021305,204,0x30,0x31
0.0021325,204,0x31,0x32
0.0021345,204,0x32,0x33
0.0021409,205,0x34,0x35
0.0021429,205,0x35,0x36
0.0021449,205,0x36,0x37
0.0021513,206,0x38,0x39
0.0021533,206,0x39,0x3A
0.0021553,206,0x3A,0x3B
0.0021617,207,0x3C,0x3D
0.0021637,207,0x3D,0x3E
0.0021657,207,0x3E,0x3F
0.0021721,208,0x40,0x41
0.0021741,208,0x41,0x42
0.0021761,208,0x42,0x43
0.0021825,209,0x44,0x45
0.0021845,209,0x45,0x46
0.0021865,209,0x46,0x47
0.0021929,210,0x48,0x49
0.0021949,210,0x49,0x4A
0.0021969,210,0x4A,0x4B
0.0022033,211,0x4C,0x4D
0.0022053,211,0x4D,0x4E
0.0022073,211,0x4E,0x4F
0.0022137,212,0x50,0x51
0.0022157,212,0x51,0x52
0.0022177,212,0x52,0x53
0.0022241,213,0x54,0x55
0.0022261,213,0x55,0x56
0.0022281,213,0x56,0x57
0.0022345,214,0x58,0x59
0.0022365,214,0x59,0x5A
0.0022385,214,0x5A,0x5B
0.0022449,215,0x5C,0x5D
0.0022469,215,0x5D,0x5E
0.0022489,215,0x5E,0x5F
0.0022553,216,0x60,0x61
0.0022573,216,0x61,0x62
0.0022593,216,0x62,0x63
0.0022657,217,0x64,0x65
0.0022677,217,0x65,0x66
0.0022697,217,0x66,0x67
0.0022761,218,0x68,0x69
0.0022781,218,0x69,0x6A
0.0022801,218,0x6A,0x6B
0.0022865,219,0x6C,0x6D
0.0022885,219,0x6D,0x6E
0.0022905,219,0x6E,0x6F
0.0022969,220,0x70,0x71
0.0022989,220,0x71,0x72
0.0023009,220,0x72,0x73
0.0023073,221,0x74,0x75
0.0023093,221,0x75,0x76
0.0023113,221,0x76,0x77
0.0023177,222,0x78,0x79
0.0023197,222,0x79,0x7A
0.0023217,222,0x7A,0x7B
0.0023281,223,0x7C,0x7D
0.0023301,223,0x7D,0x7E
0.0023321,223,0x7E,0x7F
0.0023385,224,0x80,0x81
0.0023405,224,0x81,0x82
0.0023425,224,0x82,0x83
0.0023489,225,0x84,0x85
0.0023509,225,0x85,0x86
0.0023529,225,0x86,0x87
0.0023593,226,0x88,0x89
0.0023613,226,0x89,0x8A
0.0023633,226,0x8A,0x8B
0.0023697,227,0x8C,0x8D
0.0023717,227,0x8D,0x8E
0.0023737,227,0x8E,0x8F
0.0023801,228,0x90,0x91
0.0023821,228,0x91,0x92
0.0023841,228,0x92,0x93
0.0023905,229,0x94,0x95
0.0023925,229,0x95,0x96
0.0023945,229,0x96,0x97
0.0024009,230,0x98,0x99
0.0024029,230,0x99,0x9A
0.0024049,230,0x9A,0x9B
0.0024113,231,0x9C,0x9D
0.0024133,231,0x9D,0x9E
0.0024153,231,0x9E,0x9F
0.0024217,232,0xA0,0xA1
0.0024237,232,0xA1,0xA2
0.0024257,232,0xA2,0xA3
0.0024321,233,0xA4,0xA5
0.0024341,233,0xA5,0xA6
0.0024361,233,0xA6,0xA7
0.0024425,234,0xA8,0xA9
0.0024445,234,0xA9,0xAA
0.0024465,234,0xAA,0xAB
0.0024529,235,0xAC,0xAD
0.0024549,235,0xAD,0xAE
0.0024569,235,0xAE,0xAF
0.0024633,236,0xB0,0xB1
0.0024653,236,0xB1,0xB2
0.0024673,236,0xB2,0xB3
0.0024737,237,0xB4,0xB5
0.0024757,237,0xB5,0xB6
0.0024777,237,0xB6,0xB7
0.0024841,238,0xB8,0xB9
0.0024861,238,0xB9,0xBA
0.0024881,238,0xBA,0xBB
0.0024945,239,0xBC,0xBD
0.0024965,239,0xBD,0xBE
0.0024985,239,0xBE,0xBF
0.0025049,240,0xC0,0xC1
0.0025069,240,0xC1,0xC2
0.0025089,240,0xC2,0xC3
0.0025153,241,0xC4,0xC5
0.0025173,241,0xC5,0xC6
0.0025193,241,0xC6,0xC7
0.0025257,242,0xC8,0xC9
0.0025277,242,0xC9,0xCA
0.0025297,242,0xCA,0xCB
0.0025361,243,0xCC,0xCD
0.0025381,243,0xCD,0xCE
0.0025401,243,0xCE,0xCF
0.0025465,244,0xD0,0xD1
0.0025485,244,0xD1,0xD2
0.0025505,244,0xD2,0xD3
0.0025569,245,0xD4,0xD5
0.0025589,245,0xD5,0xD6
0.0025609,245,0xD6,0xD7
0.0025673,246,0xD8,0xD9
0.0025693,246,0xD9,0xDA
0.0025713,246,0xDA,0xDB
0.0025777,247,0xDC,0xDD
0.0025797,247,0xDD,0xDE
0.0025817,247,0xDE,0xDF
0.0025881,248,0xE0,0xE1
0.0025901,248,0xE1,0xE2
0.0025921,248,0xE2,0xE3
0.0025985,249,0xE4,0xE5
0.0026005,249,0xE5,0xE6
0.0026025,249,0xE6,0xE7
0.0026089,250,0xE8,0xE9
0.0026109,250,0xE9,0xEA
0.0026129,250,0xEA,0xEB
0.0026193,251,0xEC,0xED
0.0026213,251,0xED,0xEE
0.0026233,251,0xEE,0xEF
0.0026297,252,0xF0,0xF1
0.0026317,252,0xF1,0xF2
0.0026337,252,0xF2,0xF3
0.0026401,253,0xF4,0xF5
0.0026421,253,0xF5,0xF6
0.0026441,253,0xF6,0xF7
0.0026505,254,0xF8,0xF9
0.0026525,254,0xF9,0xFA
0.0026545,254,0xFA,0xFB
0.0026609,255,0xFC,0xFD
0.0026629,255,0xFD,0xFE
0.0026649,255,0xFE,0xFF
0.0026713,256,0x00,0x01
0.0026733,256,0x01,0x02
0.0026753,256,0x02,0x03
0.0026817,257,0x04,0x05
0.0026837,257,0x05,0x06
0.0026857,257,0x06,0x07
0.0026921,258,0x08,0x09
0.0026941,258,0x09,0x0A
0.0026961,258,0x0A,0x0B
